Stim_Ind,Participant Private ID,Percent_Correctness
0.0,9281696.0,1.0
0.0,9281921.0,0.5
0.0,9298173.0,0.6666666666666666
0.0,9298177.0,1.0
0.0,9298178.0,0.8333333333333334
0.0,9298179.0,0.16666666666666666
0.0,9298183.0,1.0
0.0,9298186.0,0.3333333333333333
0.0,9298188.0,0.8333333333333334
0.0,9298192.0,0.8333333333333334
0.0,9298194.0,1.0
0.0,9298195.0,0.8333333333333334
0.0,9298198.0,1.0
0.0,9298200.0,0.8333333333333334
0.0,9298201.0,1.0
0.0,9298202.0,1.0
0.0,9298205.0,1.0
0.0,9298212.0,1.0
0.0,9298221.0,0.16666666666666666
0.0,9298225.0,0.8333333333333334
0.0,9298228.0,1.0
0.0,9298295.0,0.8333333333333334
0.0,9298296.0,0.6666666666666666
0.0,9298297.0,1.0
0.0,9298298.0,0.8333333333333334
0.0,9298299.0,0.16666666666666666
0.0,9298300.0,0.8333333333333334
0.0,9298301.0,0.6666666666666666
0.0,9298305.0,0.8333333333333334
0.0,9298306.0,0.8333333333333334
0.0,9298311.0,0.8333333333333334
0.0,9298315.0,0.6666666666666666
0.0,9298317.0,1.0
0.0,9298319.0,0.6666666666666666
0.0,9298321.0,0.8333333333333334
0.0,9298322.0,1.0
0.0,9298328.0,1.0
0.0,9298334.0,0.8333333333333334
0.0,9298346.0,1.0
0.0,9298646.0,1.0
1.0,9281696.0,1.0
1.0,9281921.0,0.8333333333333334
1.0,9298173.0,0.3333333333333333
1.0,9298177.0,1.0
1.0,9298178.0,0.6666666666666666
1.0,9298179.0,0.3333333333333333
1.0,9298183.0,0.6666666666666666
1.0,9298186.0,0.6666666666666666
1.0,9298188.0,0.5
1.0,9298192.0,1.0
1.0,9298194.0,0.3333333333333333
1.0,9298195.0,0.3333333333333333
1.0,9298198.0,0.6666666666666666
1.0,9298200.0,0.5
1.0,9298201.0,0.3333333333333333
1.0,9298202.0,0.5
1.0,9298205.0,1.0
1.0,9298212.0,1.0
1.0,9298221.0,0.3333333333333333
1.0,9298225.0,0.6666666666666666
1.0,9298228.0,1.0
1.0,9298295.0,0.6666666666666666
1.0,9298296.0,1.0
1.0,9298297.0,1.0
1.0,9298298.0,0.5
1.0,9298299.0,0.5
1.0,9298300.0,0.8333333333333334
1.0,9298301.0,0.16666666666666666
1.0,9298305.0,1.0
1.0,9298306.0,0.8333333333333334
1.0,9298311.0,0.5
1.0,9298315.0,1.0
1.0,9298317.0,0.8333333333333334
1.0,9298319.0,0.5
1.0,9298321.0,0.6666666666666666
1.0,9298322.0,0.6666666666666666
1.0,9298328.0,1.0
1.0,9298334.0,1.0
1.0,9298346.0,0.8333333333333334
1.0,9298646.0,1.0
2.0,9281696.0,1.0
2.0,9281921.0,1.0
2.0,9298173.0,0.8333333333333334
2.0,9298177.0,1.0
2.0,9298178.0,1.0
2.0,9298179.0,1.0
2.0,9298183.0,1.0
2.0,9298186.0,0.6666666666666666
2.0,9298188.0,1.0
2.0,9298192.0,1.0
2.0,9298194.0,1.0
2.0,9298195.0,0.6666666666666666
2.0,9298198.0,1.0
2.0,9298200.0,1.0
2.0,9298201.0,1.0
2.0,9298202.0,1.0
2.0,9298205.0,1.0
2.0,9298212.0,1.0
2.0,9298221.0,0.8333333333333334
2.0,9298225.0,1.0
2.0,9298228.0,1.0
2.0,9298295.0,0.6666666666666666
2.0,9298296.0,1.0
2.0,9298297.0,1.0
2.0,9298298.0,1.0
2.0,9298299.0,1.0
2.0,9298300.0,1.0
2.0,9298301.0,1.0
2.0,9298305.0,1.0
2.0,9298306.0,1.0
2.0,9298311.0,1.0
2.0,9298315.0,1.0
2.0,9298317.0,0.8333333333333334
2.0,9298319.0,1.0
2.0,9298321.0,1.0
2.0,9298322.0,1.0
2.0,9298328.0,1.0
2.0,9298334.0,1.0
2.0,9298346.0,1.0
2.0,9298646.0,1.0
