Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-inb7,order-l841,order-bvi9,randomiser-s4k1,branch-lfp6,order-svai,branch-8j67,order-md2h,Randomise questionnaire elements?,Question Key,Response
1,1681827463112,18/04/2023 14:17:43,1681827293925,-4,18/04/2023 10:14:53,127771,5,questionnaire-5dfn,,28940920,BLIND,8618163,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Good,AB,No,BEGIN QUESTIONNAIRE,
2,1681827549707,18/04/2023 14:19:09,1681827380497,-4,18/04/2023 10:16:20,127771,5,questionnaire-5dfn,,28940920,BLIND,8618163,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Good,AB,No,attention,3
3,1681827549829,18/04/2023 14:19:09,1681827380498,-4,18/04/2023 10:16:20,127771,5,questionnaire-5dfn,,28940920,BLIND,8618163,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Good,AB,No,change-type-challenge,2
4,1681827549829,18/04/2023 14:19:09,1681827380498,-4,18/04/2023 10:16:20,127771,5,questionnaire-5dfn,,28940920,BLIND,8618163,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Good,AB,No,strategy,Repeating words/melody in my head right after hearing it
5,1681827549829,18/04/2023 14:19:09,1681827380499,-4,18/04/2023 10:16:20,127771,5,questionnaire-5dfn,,28940920,BLIND,8618163,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,,,,,SD-AP,Practice Good,AB,Practice Good,AB,No,END QUESTIONNAIRE,86574
1,1681918986029,19/04/2023 15:43:06,1681918816594,-4,19/04/2023 11:40:16,127771,5,questionnaire-5dfn,,28969655,BLIND,8627700,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,Practice Bad,Practice Bad,AB,AB,AP-SD,,,,,No,BEGIN QUESTIONNAIRE,
2,1681919029428,19/04/2023 15:43:49,1681918860074,-4,19/04/2023 11:41:00,127771,5,questionnaire-5dfn,,28969655,BLIND,8627700,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,Practice Bad,Practice Bad,AB,AB,AP-SD,,,,,No,attention,2
3,1681919029568,19/04/2023 15:43:49,1681918860075,-4,19/04/2023 11:41:00,127771,5,questionnaire-5dfn,,28969655,BLIND,8627700,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,Practice Bad,Practice Bad,AB,AB,AP-SD,,,,,No,change-type-challenge,2
4,1681919029568,19/04/2023 15:43:49,1681918860075,-4,19/04/2023 11:41:00,127771,5,questionnaire-5dfn,,28969655,BLIND,8627700,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,Practice Bad,Practice Bad,AB,AB,AP-SD,,,,,No,strategy,the g d and b ky on the keyboard to keep track of the first sylable and trying to sing the intervals for pitches
5,1681919029568,19/04/2023 15:43:49,1681918860075,-4,19/04/2023 11:41:00,127771,5,questionnaire-5dfn,,28969655,BLIND,8627700,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1200,1920x1089,,Debrief-Auditory,2,Practice Bad,Practice Bad,AB,AB,AP-SD,,,,,No,END QUESTIONNAIRE,43481
